Date,Utilization of Refinery in %,Production,Demand,Contract 1 FP,Global Sale (in millions),Last Day's Price,Price
2018-01-24,89.22,4619.196245210727,4430.057049808429,65.61,2.3033534364827584,64.47000122070312,65.61000061035156
2018-01-25,88.66,4619.188965517241,4430.16275862069,65.51,2.3041550482758617,65.61000061035156,65.51000213623047
2018-01-26,88.1,4619.181685823754,4430.26846743295,66.14,2.3049566600689655,65.51000213623047,66.13999938964844
2018-01-29,88.97999999999999,4619.174406130268,4430.374176245211,65.56,2.305758271862069,66.13999938964844,65.55999755859375
2018-01-30,89.86,4619.1671264367815,4430.479885057472,64.5,2.306559883655172,65.55999755859375,64.5
2018-01-31,90.74,4619.159846743295,4430.585593869732,64.73,2.3073614954482755,64.5,64.7300033569336
2018-02-01,91.62,4619.152567049809,4430.691302681993,65.8,2.3081631072413793,64.7300033569336,65.80000305175781
2018-02-02,92.5,4619.145287356321,4430.797011494253,65.45,2.3089647190344826,65.80000305175781,65.44999694824219
2018-02-05,91.96,4619.138007662835,4430.902720306513,64.15,2.309766330827586,65.44999694824219,64.1500015258789
2018-02-06,91.42,4619.130727969348,4431.008429118774,63.39,2.3105679426206893,64.1500015258789,63.38999938964844
2018-02-07,90.88,4619.123448275862,4431.114137931035,61.79,2.311369554413793,63.38999938964844,61.790000915527344
2018-02-08,90.34,4619.116168582375,4431.219846743295,61.15,2.3121711662068964,61.790000915527344,61.150001525878906
2018-02-09,89.8,4619.108888888889,4431.325555555556,59.2,2.312972778,61.150001525878906,59.20000076293945
2018-02-12,89.46,4619.1016091954025,4431.431264367817,59.29,2.313774389793103,59.20000076293945,59.290000915527344
2018-02-13,89.11999999999999,4619.094329501915,4431.5369731800765,59.19,2.314576001586207,59.290000915527344,59.189998626708984
2018-02-14,88.78,4619.087049808429,4431.642681992337,60.6,2.3153776133793103,59.189998626708984,60.599998474121094
2018-02-15,88.44,4619.079770114942,4431.748390804598,61.34,2.3161792251724136,60.599998474121094,61.34000015258789
2018-02-16,88.1,4619.072490421456,4431.854099616859,61.68,2.316980836965517,61.34000015258789,61.68000030517578
2018-02-19,88.03999999999999,4619.065210727969,4431.959808429119,61.68,2.3177824487586207,61.510000228881836,61.790000915527344
2018-02-20,87.97999999999999,4619.057931034483,4432.06551724138,61.9,2.318584060551724,61.68000030517578,61.900001525878906
2018-02-21,87.92,4619.0506513409955,4432.17122605364,61.68,2.3193856723448274,61.900001525878906,61.68000030517578
2018-02-22,87.86,4619.043371647509,4432.2769348659,62.77,2.3201872841379307,61.68000030517578,62.77000045776367
2018-02-23,87.8,4619.036091954023,4432.382643678161,63.55,2.3209888959310345,62.77000045776367,63.54999923706055
2018-02-26,87.84,4619.028812260536,4432.488352490422,63.91,2.321790507724138,63.54999923706055,63.90999984741211
2018-02-27,87.88,4619.02153256705,4432.594061302682,63.01,2.322592119517241,63.90999984741211,63.0099983215332
2018-02-28,87.92,4619.014252873563,4432.699770114943,61.64,2.3233937313103445,63.0099983215332,61.63999938964844
2018-03-01,87.96,4619.006973180077,4432.805478927204,60.99,2.3241953431034483,61.63999938964844,60.9900016784668
2018-03-02,88.0,4618.999693486589,4432.9111877394635,61.25,2.3249969548965517,60.9900016784668,61.25
2018-03-05,88.4,4618.992413793103,4433.016896551724,62.57,2.325798566689655,61.25,62.56999969482422
2018-03-06,88.8,4618.9851340996165,4433.122605363985,62.6,2.3266001784827584,62.56999969482422,62.599998474121094
2018-03-07,89.2,4618.97785440613,4433.2283141762455,61.15,2.327401790275862,62.599998474121094,61.150001525878906
2018-03-08,89.6,4618.970574712644,4433.334022988506,60.12,2.3282034020689655,61.150001525878906,60.119998931884766
2018-03-09,90.0,4618.963295019157,4433.439731800767,62.04,2.329005013862069,60.119998931884766,62.040000915527344
2018-03-12,90.34,4618.956015325671,4433.5454406130275,61.36,2.329806625655172,62.040000915527344,61.36000061035156
2018-03-13,90.68,4618.948735632183,4433.651149425287,60.71,2.330608237448276,61.36000061035156,60.709999084472656
2018-03-14,91.02,4618.941455938697,4433.756858237548,60.96,2.3314098492413793,60.709999084472656,60.959999084472656
2018-03-15,91.36,4618.93417624521,4433.862567049809,61.19,2.3322114610344826,60.959999084472656,61.189998626708984
2018-03-16,91.7,4618.926896551724,4433.968275862069,62.34,2.333013072827586,61.189998626708984,62.34000015258789
2018-03-19,91.82000000000001,4618.9196168582375,4434.07398467433,62.06,2.3338146846206893,62.34000015258789,62.060001373291016
2018-03-20,91.94,4618.912337164751,4434.179693486591,63.4,2.334616296413793,62.060001373291016,63.400001525878906
2018-03-21,92.06,4618.905057471264,4434.28540229885,65.17,2.3354179082068964,63.400001525878906,65.16999816894531
2018-03-22,92.17999999999999,4618.897777777777,4434.391111111111,64.3,2.3362195199999998,65.16999816894531,64.30000305175781
2018-03-23,92.3,4618.890498084291,4434.496819923372,65.88,2.337021131793103,64.30000305175781,65.87999725341797
2018-03-26,92.44,4618.883218390804,4434.602528735632,65.55,2.337822743586207,65.87999725341797,65.55000305175781
2018-03-27,92.58,4618.875938697318,4434.708237547893,65.25,2.3386243553793102,65.55000305175781,65.25
2018-03-28,92.72,4618.868659003831,4434.813946360154,64.38,2.3394259671724136,65.25,64.37999725341797
2018-03-29,92.86,4618.861379310345,4434.919655172414,64.94,2.340227578965517,64.37999725341797,64.94000244140625
2018-03-30,93.0,4618.854099616858,4435.025363984674,64.94,2.3410291907586207,64.94000244140625,63.97500038146973
2018-04-02,93.1,4618.846819923371,4435.131072796935,63.01,2.341830802551724,63.97500038146973,63.0099983215332
2018-04-03,93.2,4618.839540229885,4435.2367816091955,63.51,2.3426324143448274,63.0099983215332,63.5099983215332
2018-04-04,93.3,4618.832260536398,4435.342490421456,63.37,2.3434340261379307,63.5099983215332,63.369998931884766
2018-04-05,93.4,4618.824980842912,4435.448199233717,63.54,2.3442356379310345,63.369998931884766,63.540000915527344
2018-04-06,93.5,4618.817701149425,4435.553908045978,62.06,2.345037249724138,63.540000915527344,62.060001373291016
2018-04-09,93.28,4618.810421455939,4435.659616858238,63.42,2.345838861517241,62.060001373291016,63.41999816894531
2018-04-10,93.06,4618.803141762452,4435.765325670498,65.51,2.3466404733103445,63.41999816894531,65.51000213623047
2018-04-11,92.84,4618.795862068965,4435.871034482759,66.82,2.3474420851034483,65.51000213623047,66.81999969482422
2018-04-12,92.62,4618.788582375479,4435.976743295019,67.07,2.3482436968965517,66.81999969482422,67.06999969482422
2018-04-13,92.4,4618.781302681992,4436.08245210728,67.39,2.349045308689655,67.06999969482422,67.38999938964844
2018-04-16,92.08,4618.774022988506,4436.188160919541,66.22,2.3498469204827583,67.38999938964844,66.22000122070312
2018-04-17,91.76,4618.766743295019,4436.293869731801,66.52,2.350648532275862,66.22000122070312,66.5199966430664
2018-04-18,91.44,4618.759463601532,4436.399578544061,68.47,2.3514501440689655,66.5199966430664,68.47000122070312
2018-04-19,91.12,4618.7521839080455,4436.505287356322,68.29,2.352251755862069,68.47000122070312,68.29000091552734
2018-04-20,90.8,4618.744904214559,4436.6109961685825,68.38,2.353053367655172,68.29000091552734,68.37999725341797
2018-04-23,90.86,4618.737624521073,4436.716704980843,68.64,2.353854979448276,68.37999725341797,68.63999938964844
2018-04-24,90.92,4618.730344827586,4436.822413793104,67.7,2.3546565912413793,68.63999938964844,67.69999694824219
2018-04-25,90.97999999999999,4618.7230651341,4436.9281226053645,68.05,2.3554582030344826,67.69999694824219,68.05000305175781
2018-04-26,91.03999999999999,4618.715785440613,4437.033831417625,68.19,2.356259814827586,68.05000305175781,68.19000244140625
2018-04-27,91.1,4618.708505747126,4437.139540229885,68.1,2.3570614266206897,68.19000244140625,68.0999984741211
2018-04-30,90.96,4618.701226053639,4437.245249042146,68.57,2.357863038413793,68.0999984741211,68.56999969482422
2018-05-01,90.82,4618.693946360153,4437.350957854406,67.25,2.3586646502068964,68.56999969482422,67.25
2018-05-02,90.68,4618.6866666666665,4437.456666666667,67.93,2.3594662619999998,67.25,67.93000030517578
2018-05-03,90.54,4618.67938697318,4437.562375478928,68.43,2.3602678737931035,67.93000030517578,68.43000030517578
2018-05-04,90.4,4618.672107279694,4437.668084291188,69.72,2.361069485586207,68.43000030517578,69.72000122070312
2018-05-07,90.54,4618.664827586207,4437.773793103449,70.73,2.3618710973793102,69.72000122070312,70.7300033569336
2018-05-08,90.68,4618.65754789272,4437.879501915709,69.06,2.3626727091724136,70.7300033569336,69.05999755859375
2018-05-09,90.82,4618.650268199233,4437.985210727969,71.14,2.3634743209655174,69.05999755859375,71.13999938964844
2018-05-10,90.96,4618.642988505747,4438.09091954023,71.36,2.3642759327586207,71.13999938964844,71.36000061035156
2018-05-11,91.1,4618.63570881226,4438.196628352491,70.7,2.365077544551724,71.36000061035156,70.69999694824219
2018-05-14,91.24,4618.628429118774,4438.302337164751,70.96,2.3658791563448274,70.69999694824219,70.95999908447266
2018-05-15,91.38,4618.6211494252875,4438.408045977012,71.31,2.366680768137931,70.95999908447266,71.30999755859375
2018-05-16,91.52,4618.613869731801,4438.513754789273,71.49,2.3674823799310345,71.30999755859375,71.48999786376953
2018-05-17,91.66,4618.606590038314,4438.6194636015325,71.49,2.368283991724138,71.48999786376953,71.48999786376953
2018-05-18,91.8,4618.599310344827,4438.725172413793,71.28,2.369085603517241,71.48999786376953,71.27999877929688
2018-05-21,92.22,4618.592030651341,4438.830881226054,72.24,2.369887215310345,71.27999877929688,72.23999786376953
2018-05-22,92.64,4618.584750957854,4438.9365900383145,72.13,2.3706888271034483,72.23999786376953,72.12999725341797
2018-05-23,93.06,4618.577471264368,4439.042298850575,71.84,2.3714904388965516,72.12999725341797,71.83999633789062
2018-05-24,93.48,4618.570191570881,4439.148007662836,70.71,2.372292050689655,71.83999633789062,70.70999908447266
2018-05-25,93.9,4618.562911877394,4439.253716475096,67.88,2.3730936624827583,70.70999908447266,67.87999725341797
